Time [s], x, der(x)
0.281, 0.755028, -0.755028
0.2815, 0.754651, -0.754651
0.282, 0.754274, -0.754274
0.2825, 0.753897, -0.753897
0.283, 0.75352, -0.75352
0.2835, 0.753143, -0.753143
0.284, 0.752767, -0.752767
0.2845, 0.75239, -0.75239
0.285, 0.752014, -0.752014
0.2855, 0.751638, -0.751638
0.286, 0.751263, -0.751263
0.2865, 0.750887, -0.750887
0.287, 0.750512, -0.750512
0.2875, 0.750137, -0.750137
0.288, 0.749762, -0.749762
0.2885, 0.749387, -0.749387
0.289, 0.749012, -0.749012
0.2895, 0.748638, -0.748638
0.29, 0.748264, -0.748264
0.2905, 0.74789, -0.74789
0.291, 0.747516, -0.747516
0.2915, 0.747142, -0.747142
0.292, 0.746769, -0.746769
0.2925, 0.746395, -0.746395
0.293, 0.746022, -0.746022
0.2935, 0.745649, -0.745649
0.294, 0.745276, -0.745276
0.2945, 0.744904, -0.744904
0.295, 0.744532, -0.744532
0.2955, 0.744159, -0.744159
0.296, 0.743787, -0.743787
0.2965, 0.743416, -0.743416
0.297, 0.743044, -0.743044
0.2975, 0.742673, -0.742673
0.298, 0.742301, -0.742301
0.2985, 0.74193, -0.74193
0.299, 0.741559, -0.741559
0.2995, 0.741189, -0.741189
0.3, 0.740818, -0.740818
0.3005, 0.740448, -0.740448
0.301, 0.740078, -0.740078
0.3015, 0.739708, -0.739708
0.302, 0.739338, -0.739338
0.3025, 0.738968, -0.738968
0.303, 0.738599, -0.738599
0.3035, 0.73823, -0.73823
0.304, 0.737861, -0.737861
0.3045, 0.737492, -0.737492
0.305, 0.737123, -0.737123
0.3055, 0.736755, -0.736755
0.306, 0.736387, -0.736387
0.3065, 0.736019, -0.736019
0.307, 0.735651, -0.735651
0.3075, 0.735283, -0.735283
0.308, 0.734915, -0.734915
0.3085, 0.734548, -0.734548
0.309, 0.734181, -0.734181
0.3095, 0.733814, -0.733814
0.31, 0.733447, -0.733447
0.3105, 0.73308, -0.73308
0.311, 0.732714, -0.732714
0.3115, 0.732348, -0.732348
0.312, 0.731982, -0.731982
0.3125, 0.731616, -0.731616
0.313, 0.73125, -0.73125
0.3135, 0.730884, -0.730884
0.314, 0.730519, -0.730519
0.3145, 0.730154, -0.730154
0.315, 0.729789, -0.729789
0.3155, 0.729424, -0.729424
0.316, 0.729059, -0.729059
0.3165, 0.728695, -0.728695
0.317, 0.728331, -0.728331
0.3175, 0.727967, -0.727967
0.318, 0.727603, -0.727603
0.3185, 0.727239, -0.727239
0.319, 0.726876, -0.726876
0.3195, 0.726512, -0.726512
0.32, 0.726149, -0.726149
0.3205, 0.725786, -0.725786
0.321, 0.725423, -0.725423
0.3215, 0.725061, -0.725061
0.322, 0.724698, -0.724698
0.3225, 0.724336, -0.724336
0.323, 0.723974, -0.723974
0.3235, 0.723612, -0.723612
0.324, 0.72325, -0.72325
0.3245, 0.722889, -0.722889
0.325, 0.722527, -0.722527
0.3255, 0.722166, -0.722166
0.326, 0.721805, -0.721805
0.3265, 0.721444, -0.721444
0.327, 0.721084, -0.721084
0.3275, 0.720723, -0.720723
0.328, 0.720363, -0.720363
0.3285, 0.720003, -0.720003
0.329, 0.719643, -0.719643
0.3295, 0.719283, -0.719283
0.33, 0.718924, -0.718924
0.3305, 0.718564, -0.718564
0.331, 0.718205, -0.718205
0.3315, 0.717846, -0.717846
0.332, 0.717487, -0.717487
0.3325, 0.717129, -0.717129
0.333, 0.71677, -0.71677
0.3335, 0.716412, -0.716412
0.334, 0.716054, -0.716054
0.3345, 0.715696, -0.715696
0.335, 0.715338, -0.715338
0.3355, 0.714981, -0.714981
0.336, 0.714623, -0.714623
0.3365, 0.714266, -0.714266
0.337, 0.713909, -0.713909
0.3375, 0.713552, -0.713552
0.338, 0.713195, -0.713195
0.3385, 0.712839, -0.712839
0.339, 0.712482, -0.712482
0.3395, 0.712126, -0.712126
0.34, 0.71177, -0.71177
0.3405, 0.711415, -0.711415
0.341, 0.711059, -0.711059
0.3415, 0.710703, -0.710703
0.342, 0.710348, -0.710348
0.3425, 0.709993, -0.709993
0.343, 0.709638, -0.709638
0.3435, 0.709283, -0.709283
0.344, 0.708929, -0.708929
0.3445, 0.708575, -0.708575
0.345, 0.70822, -0.70822
0.3455, 0.707866, -0.707866
0.346, 0.707512, -0.707512
0.3465, 0.707159, -0.707159
0.347, 0.706805, -0.706805
0.3475, 0.706452, -0.706452
0.348, 0.706099, -0.706099
0.3485, 0.705746, -0.705746
0.349, 0.705393, -0.705393
0.3495, 0.705041, -0.705041
0.35, 0.704688, -0.704688
0.3505, 0.704336, -0.704336
0.351, 0.703984, -0.703984
0.3515, 0.703632, -0.703632
0.352, 0.70328, -0.70328
0.3525, 0.702929, -0.702929
0.353, 0.702577, -0.702577
0.3535, 0.702226, -0.702226
0.354, 0.701875, -0.701875
0.3545, 0.701524, -0.701524
0.355, 0.701173, -0.701173
0.3555, 0.700823, -0.700823
0.356, 0.700473, -0.700473
0.3565, 0.700122, -0.700122
0.357, 0.699772, -0.699772
0.3575, 0.699423, -0.699423
0.358, 0.699073, -0.699073
0.3585, 0.698724, -0.698724
0.359, 0.698374, -0.698374
0.3595, 0.698025, -0.698025
0.36, 0.697676, -0.697676
0.3605, 0.697328, -0.697328
0.361, 0.696979, -0.696979
0.3615, 0.696631, -0.696631
0.362, 0.696282, -0.696282
0.3625, 0.695934, -0.695934
0.363, 0.695586, -0.695586
0.3635, 0.695239, -0.695239
0.364, 0.694891, -0.694891
0.3645, 0.694544, -0.694544
0.365, 0.694197, -0.694197
0.3655, 0.69385, -0.69385
0.366, 0.693503, -0.693503
0.3665, 0.693156, -0.693156
0.367, 0.69281, -0.69281
0.3675, 0.692463, -0.692463
0.368, 0.692117, -0.692117
0.3685, 0.691771, -0.691771
0.369, 0.691425, -0.691425
0.3695, 0.69108, -0.69108
0.37, 0.690734, -0.690734
0.3705, 0.690389, -0.690389
0.371, 0.690044, -0.690044
0.3715, 0.689699, -0.689699
0.372, 0.689354, -0.689354
0.3725, 0.68901, -0.68901
0.373, 0.688665, -0.688665
0.3735, 0.688321, -0.688321
0.374, 0.687977, -0.687977
0.3745, 0.687633, -0.687633
0.375, 0.687289, -0.687289
0.3755, 0.686946, -0.686946
0.376, 0.686602, -0.686602
0.3765, 0.686259, -0.686259
0.377, 0.685916, -0.685916
0.3775, 0.685573, -0.685573
0.378, 0.685231, -0.685231
0.3785, 0.684888, -0.684888
0.379, 0.684546, -0.684546
0.3795, 0.684203, -0.684203
0.38, 0.683861, -0.683861
0.3805, 0.68352, -0.68352
0.381, 0.683178, -0.683178
0.3815, 0.682836, -0.682836
0.382, 0.682495, -0.682495
0.3825, 0.682154, -0.682154
0.383, 0.681813, -0.681813
0.3835, 0.681472, -0.681472
0.384, 0.681131, -0.681131
0.3845, 0.680791, -0.680791
0.385, 0.680451, -0.680451
0.3855, 0.68011, -0.68011
0.386, 0.679771, -0.679771
0.3865, 0.679431, -0.679431
0.387, 0.679091, -0.679091
0.3875, 0.678752, -0.678752
0.388, 0.678412, -0.678412
0.3885, 0.678073, -0.678073
0.389, 0.677734, -0.677734
0.3895, 0.677395, -0.677395
0.39, 0.677057, -0.677057
0.3905, 0.676718, -0.676718
0.391, 0.67638, -0.67638
0.3915, 0.676042, -0.676042
0.392, 0.675704, -0.675704
0.3925, 0.675366, -0.675366
0.393, 0.675029, -0.675029
0.3935, 0.674691, -0.674691
0.394, 0.674354, -0.674354
0.3945, 0.674017, -0.674017
0.395, 0.67368, -0.67368
0.3955, 0.673343, -0.673343
0.396, 0.673007, -0.673007
0.3965, 0.67267, -0.67267
0.397, 0.672334, -0.672334
0.3975, 0.671998, -0.671998
0.398, 0.671662, -0.671662
0.3985, 0.671326, -0.671326
0.399, 0.670991, -0.670991
0.3995, 0.670655, -0.670655
0.4, 0.67032, -0.67032
0.4005, 0.669985, -0.669985
